"Coord","Col","Row","group_clearsky","dist_to_center","center_group","Rep","Zone","Selected"
16.046,46,16,"4",30.1565437803955,"no",2,"Sampling","no"
16.047,47,16,"4",24.4150867125525,"no",2,"Sampling","no"
16.048,48,16,"4",23.0893526239755,"no",2,"Sampling","no"
16.049,49,16,"4",25.7179300437034,"no",2,"Sampling","no"
16.053,53,16,"2",27.111403714226,"no",3,"Sampling","no"
16.054,54,16,"2",28.3102454743864,"no",3,"Sampling","no"
16.055,55,16,"2",29.0254572228664,"no",3,"Sampling","no"
16.056,56,16,"3",32.4436205924284,"no",3,"Sampling","no"
16.057,57,16,"3",37.4424552410155,"no",3,"Sampling","no"
16.058,58,16,"1",38.0453958452616,"no",3,"Sampling","no"
16.059,59,16,"1",38.2381923287868,"no",3,"Sampling","no"
16.06,60,16,"4",33.9074335213791,"no",3,"Sampling","no"
16.061,61,16,"4",29.7099784096733,"no",3,"Sampling","no"
16.062,62,16,"4",23.6050858571289,"no",3,"Sampling","no"
16.063,63,16,"4",22.3040398474434,"no",3,"Sampling","no"
16.064,64,16,"4",25.429399412337,"no",3,"Sampling","no"
16.068,68,16,"2",29.9615003015853,"no",4,"Sampling","no"
16.069,69,16,"2",28.5311297987747,"no",4,"Sampling","no"
16.07,70,16,"2",30.2312097224971,"no",4,"Sampling","no"
16.071,71,16,"3",32.6827084826814,"no",4,"Sampling","no"
16.072,72,16,"3",37.2562641189252,"no",4,"Sampling","no"
16.073,73,16,"1",37.6888963841788,"no",4,"Sampling","no"
16.074,74,16,"1",38.084113247989,"no",4,"Sampling","no"
16.075,75,16,"4",33.8755140013645,"no",4,"Sampling","no"
16.076,76,16,"4",30.3653183657448,"no",4,"Sampling","no"
16.077,77,16,"4",24.9499983277,"no",4,"Sampling","no"
17.023,23,17,"1",33.0821281241449,"no",1,"Sampling","no"
17.024,24,17,"3",28.039918308326,"no",1,"Sampling","no"
17.025,25,17,"3",21.5283124658223,"no",1,"Sampling","no"
17.026,26,17,"3",21.3949263480809,"no",1,"Sampling","no"
17.027,27,17,"3",31.5951257268465,"no",1,"Sampling","no"
17.028,28,17,"3",36.7329917203668,"no",1,"Sampling","no"
17.029,29,17,"3",39.4700058414934,"no",1,"Sampling","no"
17.03,30,17,"4",30.5829717591893,"no",1,"Sampling","no"
17.031,31,17,"4",24.4852810875775,"no",1,"Sampling","no"
17.032,32,17,"4",14.2530465266626,"no",1,"Sampling","selected"
17.033,33,17,"4",16.1965665406858,"no",1,"Sampling","selected"
17.034,34,17,"4",23.2063307720953,"no",1,"Sampling","no"
17.038,38,17,"1",34.3362229036331,"no",2,"Sampling","no"
17.039,39,17,"3",26.6277436642956,"no",2,"Sampling","no"
17.04,40,17,"3",20.6198114393089,"no",2,"Sampling","no"
17.041,41,17,"3",21.4901964554658,"no",2,"Sampling","no"
17.042,42,17,"3",31.5437265598181,"no",2,"Sampling","no"
17.043,43,17,"3",36.6144602755129,"no",2,"Sampling","no"
17.044,44,17,"3",39.1874548739834,"no",2,"Sampling","no"
17.045,45,17,"4",30.1867726858634,"no",2,"Sampling","no"
17.046,46,17,"4",24.4745017427602,"no",2,"Sampling","no"
17.047,47,17,"4",14.5125925303016,"no",2,"Sampling","selected"
17.048,48,17,"4",14.8430560322047,"no",2,"Sampling","selected"
17.049,49,17,"4",22.0042703332369,"no",2,"Sampling","no"
17.053,53,17,"1",33.2544900212757,"no",3,"Sampling","no"
17.054,54,17,"3",27.6970807492187,"no",3,"Sampling","no"
17.055,55,17,"3",20.6412980122136,"no",3,"Sampling","no"
17.056,56,17,"3",20.7630503480081,"no",3,"Sampling","no"
17.057,57,17,"3",31.2185038641487,"no",3,"Sampling","no"
17.058,58,17,"3",36.5241612270853,"no",3,"Sampling","no"
17.059,59,17,"3",39.4195797845621,"no",3,"Sampling","no"
17.06,60,17,"4",30.6423380511383,"no",3,"Sampling","no"
17.061,61,17,"4",24.6197292581062,"no",3,"Sampling","no"
17.062,62,17,"4",14.3503670258744,"no",3,"Sampling","selected"
17.063,63,17,"4",16.2868787243561,"no",3,"Sampling","selected"
17.064,64,17,"4",22.984177676606,"no",3,"Sampling","no"
17.068,68,17,"1",34.3156917841004,"no",4,"Sampling","no"
17.069,69,17,"3",26.6566273547622,"no",4,"Sampling","no"
17.07,70,17,"3",20.7019867826194,"no",4,"Sampling","no"
17.071,71,17,"3",21.4722616512868,"no",4,"Sampling","no"
17.072,72,17,"3",31.5531987832673,"no",4,"Sampling","no"
17.073,73,17,"3",36.49674011112,"no",4,"Sampling","no"
17.074,74,17,"3",39.1424718809527,"no",4,"Sampling","no"
17.075,75,17,"4",30.456060272144,"no",4,"Sampling","no"
17.076,76,17,"4",24.8952779958434,"no",4,"Sampling","no"
17.077,77,17,"4",15.6259082736645,"no",4,"Sampling","selected"
18.023,23,18,"1",29.3708618120646,"no",1,"Sampling","no"
18.024,24,18,"3",20.0005451814865,"no",1,"Sampling","no"
18.025,25,18,"3",10.5850301960151,"no",1,"Sampling","selected"
